计费对象,产品名称,产品到期时间,状态,停机类型,客户编号,用户类型,客户等级,网络类型,业务备注,收费类型,入网时间,渠道名称,网格序号
ys0015561,宽带10M产品,6/25/2017,正使用,正常,c10002109695,新用户,5星ABD客户,城网用户,EOC接入,普通,5/17/2011, , 
ys0023214,宽带4M产品,7/24/2017,正使用,正常,c10002109697,新用户,5星ABD客户,城网用户,EOC接入,农网居民,2/23/2012, , 
ys0082301,宽带10M产品,6/25/2017,正使用,正常,c10002109701,新用户,5星ABD客户,城网用户,EOC接入,普通,2/8/2015, , 
ys0022748,宽带10M产品,2/26/2018,正使用,正常,c10002114185,新用户,5星ABD客户,农网用户,EOC接入,普通,1/17/2012, , 
ys0056409,宽带10M产品,1/3/2018,正使用,正常,c10002114884,新用户,5星ABD客户,城网用户,EOC接入,普通,1/2/2014, , 
ys0083681,宽带10M产品,5/8/2017,正使用,正常,c10002118933,新用户,5星ABD客户,城网用户,EOC接入,普通,3/13/2015, , 
ys0074844,宽带10M产品,10/29/2016,已停用,欠费停机,c10006305966,新用户,离线,农网用户,EOC接入,农网居民,10/15/2014, , 
ys0080014,宽带10M产品,1/5/2018,正使用,正常,c10002120172,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2015, , 
ys0070152,宽带4M产品,7/15/2015,已停用,客户报停,c10002120173,新用户,3星AB客户,城网用户,EOC接入,普通,7/16/2014, , 
ys0040259,宽带10M产品,8/25/2017,正使用,正常,c10002120293,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/13/2013, , 
ys0074865,宽带10M产品,11/18/2017,正使用,正常,c10002123835,新用户,5星ABD客户,城网用户,EOC接入,普通,10/15/2014, , 
ys0041355,宽带10M产品,5/27/2017,正使用,正常,c10002125494,新用户,5星ABD客户,农网用户,EOC接入,普通,6/2/2013, , 
ys0057767,宽带10M产品,11/3/2016,已停用,欠费停机,c10007202177,新用户,离线,农网用户,EOC接入,普通,1/14/2014, , 
ys0056459,宽带10M产品,3/6/2017,正使用,正常,c10002125848,新用户,1星D客户,农网用户,EOC接入,普通,1/2/2014, , 
ys0080035,宽带10M产品,2/5/2018,正使用,正常,c10002125908,新用户,5星ABD客户,城网用户,EOC接入,普通,1/6/2015, , 
ys0046632,宽带10M产品,9/14/2017,正使用,正常,c10002126686,新用户,5星ABD客户,城网用户,EOC接入,普通,8/30/2013, , 
